Story, Iowa,235708.0,14
Caroline, Virginia,308965.0,39
Bosque, Texas,196018.0,4
Morgan, Kentucky,122018.0,0
Crawford, Georgia,184183.0,15
Cedar, Nebraska,185673.0,1
Houston, Tennessee,174117.0,12
Saginaw, Michigan,148785.0,85
Muskegon, Michigan,216216.0,64
Dekalb, Missouri,202496.0,7
Oconee, South Carolina,271375.0,153
Nicollet, Minnesota,299179.0,7
Miller, Missouri,203693.0,28
Webster, Kentucky,87566.0,1
Maries, Missouri,206999.0,12
Valley, Montana,255144.0,9
Toole, Montana,145858.0,22
Adams, Pennsylvania,286312.0,0
Panola, Texas,188570.0,43
Hughes, South Dakota,292893.0,1
Lunenburg, Virginia,144616.0,13
Keokuk, Iowa,108016.0,6
Jackson, Minnesota,179946.0,7
Hennepin, Minnesota,374167.0,14
Spokane, Washington,438554.0,148
Solano, California,606756.0,105
Caroline, Maryland,268917.0,20
Houston, Georgia,219776.0,98
Tom Green, Texas,198482.0,19
Sumter, South Carolina,179844.0,403
Grand Traverse, Michigan,410614.0,143
Grayson, Virginia,163771.0,13
Rich, Utah,562426.0,3
Jefferson, Alabama,215049.0,700
Rockwall, Texas,459040.0,22
Calloway, Kentucky,183692.0,19
Gunnison, Colorado,637001.0,5
Pike, Illinois,95091.0,5
Watonwan, Minnesota,152552.0,2
Pasco, Florida,348646.0,1377
Weber, Utah,465848.0,51
Marathon, Wisconsin,227945.0,22
Citrus, Florida,291082.0,399
Douglas, Missouri,160939.0,20
Teton, Idaho,710343.0,13
Grant, Washington,358128.0,99
Pittsburg, Oklahoma,120411.0,58
Bradley, Arkansas,82644.0,8
Antelope, Nebraska,153112.0,7
Hall, Texas,66468.0,5
Santa Cruz, California,1230425.0,288
Calhoun, Michigan,164953.0,115
Augusta, Virginia,318911.0,79
Moody, South Dakota,250730.0,2
Beaver, Pennsylvania,178613.0,3
Bacon, Georgia,133596.0,15
Harper, Oklahoma,83455.0,1
Shawnee, Kansas,172810.0,79
Jefferson, Arkansas,85288.0,71
Shelby, Ohio,220339.0,22
Cortland, New York,173297.0,18
Fannin, Georgia,410008.0,12
Izard, Arkansas,122996.0,35
Carroll, Kentucky,133771.0,1
Oscoda, Michigan,116840.0,11
